"id","displaypath","source","status","grouping","parent_grouping","description","top_5","downtime_calc"
1041,ASRS2A050_T2.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1042,ASRS2A050_T2.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1043,ASRS2A050_T2.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1044,ASRS2A050_T2.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1045,ASRS2A050_T2.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1046,ASRS2A050_T2.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1047,ASRS2A050_T2.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1048,ASRS2A050_T2.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1049,ASRS2A050_T2.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1050,ASRS2A050_T2.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Conveyor Roller Raise Fault,Y,Y
1051,ASRS2A050_T2.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Conveyor Roller Raise Fault,Y,Y
1052,ASRS2A050_T2.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2A050_T2/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Conveyor Roller Raise Fault,Y,Y
1053,ASRS2B005.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1054,ASRS2B005.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1055,ASRS2B005.IB_DISC3,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/IB_DISC3:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1056,ASRS2B005.IB_VFDFaulted,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/IB_VFDFaulted:/alm:Out_VFDFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1057,ASRS2B005.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1058,ASRS2B005.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1059,ASRS2B005.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1060,ASRS2B005.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1061,ASRS2B005.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1062,ASRS2B005.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1063,ASRS2B005.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1064,ASRS2B005.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1065,ASRS2B005.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1066,ASRS2B005.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1067,ASRS2B005.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1068,ASRS2B005.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B005/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1069,ASRS2B010.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1070,ASRS2B010.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1071,ASRS2B010.IB_DISC3,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/IB_DISC3:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1072,ASRS2B010.IB_VFDFaulted,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/IB_VFDFaulted:/alm:Out_VFDFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1073,ASRS2B010.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1074,ASRS2B010.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1075,ASRS2B010.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1076,ASRS2B010.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1077,ASRS2B010.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1078,ASRS2B010.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1079,ASRS2B010.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1080,ASRS2B010.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1081,ASRS2B010.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1082,ASRS2B010.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1083,ASRS2B010.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1084,ASRS2B010.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B010/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1085,ASRS2B020.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1086,ASRS2B020.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1087,ASRS2B020.IB_DISC3,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/IB_DISC3:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1088,ASRS2B020.IB_VFDFaulted,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/IB_VFDFaulted:/alm:Out_VFDFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1089,ASRS2B020.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1090,ASRS2B020.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1091,ASRS2B020.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1092,ASRS2B020.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1093,ASRS2B020.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1094,ASRS2B020.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1095,ASRS2B020.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1096,ASRS2B020.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1097,ASRS2B020.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1098,ASRS2B020.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1099,ASRS2B020.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1100,ASRS2B020.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2B020/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1101,ASRS2C005.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1102,ASRS2C005.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1103,ASRS2C005.IB_DISC3,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/IB_DISC3:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1104,ASRS2C005.IB_VFDFaulted,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/IB_VFDFaulted:/alm:Out_VFDFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1105,ASRS2C005.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1106,ASRS2C005.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1107,ASRS2C005.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1108,ASRS2C005.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1109,ASRS2C005.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1110,ASRS2C005.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1111,ASRS2C005.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1112,ASRS2C005.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1113,ASRS2C005.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1114,ASRS2C005.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1115,ASRS2C005.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1116,ASRS2C005.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C005/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1117,ASRS2C010.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1118,ASRS2C010.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1119,ASRS2C010.IB_DISC3,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/IB_DISC3:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1120,ASRS2C010.IB_VFDFaulted,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/IB_VFDFaulted:/alm:Out_VFDFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1121,ASRS2C010.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1122,ASRS2C010.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1123,ASRS2C010.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1124,ASRS2C010.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1125,ASRS2C010.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1126,ASRS2C010.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1127,ASRS2C010.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1128,ASRS2C010.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1129,ASRS2C010.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1130,ASRS2C010.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1131,ASRS2C010.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1132,ASRS2C010.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C010/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1133,ASRS2C020.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1134,ASRS2C020.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1135,ASRS2C020.IB_DISC3,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/IB_DISC3:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1136,ASRS2C020.IB_VFDFaulted,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/IB_VFDFaulted:/alm:Out_VFDFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1137,ASRS2C020.IB_VFDFaulted2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/IB_VFDFaulted2:/alm:IB_VFDFault2,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1138,ASRS2C020.Out_BladeDownfault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_BladeDownfault:/alm:Out_BladeDownfault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1139,ASRS2C020.Out_BladeRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_BladeRaisefault:/alm:Out_BladeRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1140,ASRS2C020.Out_ChainRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_ChainRaisefault:/alm:Out_ChainRaisefault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1141,ASRS2C020.Out_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_DoorCloseFault:/alm:Out_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1142,ASRS2C020.Out_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_DoorOpenFault:/alm:Out_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,VFD Fault - Check VFD for Fault Code,Y,Y
1143,ASRS2C020.Out_Fault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_Fault:/alm:Out_Fault,Down,Conveyor_ASRS2,ASRS,Conveyor Fault. Check Conveyor Faceplate for Details,Y,Y
1144,ASRS2C020.Out_JamFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_JamFault:/alm:Out_JamFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1145,ASRS2C020.Out_MPFAULT,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_MPFAULT:/alm:Out_MPFAULT,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1146,ASRS2C020.Out_RollerRaisefault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/Out_RollerRaisefault:/alm:Out_RollerRaisefault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1147,ASRS2C020.US_DoorCloseFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/US_DoorCloseFault:/alm:US_DoorCloseFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1148,ASRS2C020.US_DoorOpenFault,prov:default:/tag:L2/ASRS/Conveyors/ASRS2C020/US_DoorOpenFault:/alm:US_DoorOpenFault,Down,Conveyor_ASRS2,ASRS,Photo Eye Jam Fault - Clear Jam and Restart System,Y,Y
1149,ASRS2D005.IB_DISC1,prov:default:/tag:L2/ASRS/Conveyors/ASRS2D005/IB_DISC1:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
1150,ASRS2D005.IB_DISC2,prov:default:/tag:L2/ASRS/Conveyors/ASRS2D005/IB_DISC2:/alm:Out_VFDDiscFault,Down,Conveyor_ASRS2,ASRS,VFD Disconnect Fault - Turn On Motor Disconnect,Y,Y
